	train_steps	train_losses	train_accs	dev_accs
0	0	0.0	0.5544892552251987	0.5605688202247191
1	1	2.8815665245056152	0.5481895790403297	0.5421348314606742
2	501	0.5328510999679565	0.7617309390638799	0.7652738764044944
3	1001	0.5154114961624146	0.8040624080070651	0.8077598314606742
4	1501	0.45916637778282166	0.8235501913453047	0.8240870786516854
5	2001	0.4315914809703827	0.7623196938475125	0.75
6	2501	0.37629973888397217	0.8499264056520459	0.847436797752809
7	3001	0.3718022108078003	0.8140123638504563	0.8214536516853933
8	3501	0.33134642243385315	0.8565793347070945	0.8521769662921348
9	4001	0.34104230999946594	0.8582867235796291	0.852001404494382
10	4501	0.3118324875831604	0.8631145128054165	0.8551615168539326
11	5001	0.3831014037132263	0.8617603768030615	0.8607794943820225
12	5501	0.3166687488555908	0.8708272004710038	0.858497191011236
13	6001	0.303580641746521	0.8770680011775096	0.8718398876404494
14	6501	0.27857041358947754	0.88213129231675	0.870435393258427
15	7001	0.27914196252822876	0.8654106564615838	0.8562148876404494
16	7501	0.2883371412754059	0.8845451869296438	0.8692064606741573
17	8001	0.2769649624824524	0.8823079187518399	0.8669241573033708
18	8501	0.26080211997032166	0.8736532234324403	0.8599016853932584
19	9001	0.28607046604156494	0.8858993229319988	0.8634129213483146
20	9501	0.2519540786743164	0.8774801295260524	0.8665730337078652
21	10001	0.2561351954936981	0.894259640859582	0.8678019662921348
22	10501	0.2271631807088852	0.8970267883426553	0.8702598314606742
23	11001	0.2350233644247055	0.8962614071239329	0.8727176966292135
24	11501	0.22938057780265808	0.8997939358257285	0.8746488764044944
25	12001	0.24187695980072021	0.8698851928171917	0.8325140449438202
26	12501	0.17842064797878265	0.9024433323520754	0.8635884831460674
27	13001	0.26486584544181824	0.9033853400058875	0.8621839887640449
28	13501	0.18910254538059235	0.9146894318516338	0.8646418539325843
29	14001	0.21970827877521515	0.9126287901089196	0.8642907303370787
30	14501	0.2107028365135193	0.9137474241978216	0.8690308988764045
31	15001	0.16023172438144684	0.9186929643803355	0.8611306179775281
32	15501	0.20867210626602173	0.9216956137768619	0.8600772471910112
33	16001	0.1717836856842041	0.9280541654400942	0.8641151685393258
34	16501	0.1965923309326172	0.9248160141301148	0.8663974719101124
35	17001	0.2095368355512619	0.9264056520459228	0.8613061797752809
36	17501	0.18713851273059845	0.9225198704739476	0.8672752808988764
37	18001	0.11247844249010086	0.9335884604062408	0.8627106741573034
38	18501	0.18803633749485016	0.9284074183102737	0.8607794943820225
39	19001	0.1149371862411499	0.9310568148366205	0.8644662921348315
40	19501	0.15191426873207092	0.9123932881954666	0.8340941011235955
41	20001	0.09340627491474152	0.9369443626729467	0.8595505617977528
42	20501	0.10835061967372894	0.9371209891080365	0.8644662921348315
43	21001	0.0951198861002922	0.9450103032087136	0.8567415730337079
44	21501	0.12760581076145172	0.9546070061819252	0.859375
45	22001	0.07398216426372528	0.9590226670591698	0.8627106741573034
46	22501	0.11162164807319641	0.9570209007948189	0.8648174157303371
47	23001	0.06710218638181686	0.9552546364439211	0.8663974719101124
48	23501	0.09417632967233658	0.937474241978216	0.8625351123595506
49	24001	0.18894696235656738	0.9241095083897557	0.848314606741573
50	24501	0.16888843476772308	0.9488960847806889	0.851123595505618
51	25001	0.07029987871646881	0.9567853988813659	0.8588483146067416
52	25501	0.07938406616449356	0.9632028260229615	0.8618328651685393
