	train_steps	train_losses	train_accs	dev_accs
0	0	0.0	0.4008382379168896	0.39344262295081966
1	1	0.7388683557510376	0.45434278580345994	0.45699873896595206
2	501	0.4785647392272949	0.8170144462279294	0.8184110970996217
3	1001	0.40928709506988525	0.8270019618334226	0.8262295081967214
4	1501	0.413099467754364	0.8200463706081683	0.8332912988650694
5	2001	0.39746788144111633	0.8333333333333334	0.8282471626733922
6	2501	0.3861205279827118	0.8547351524879615	0.8547288776796973
7	3001	0.36734622716903687	0.853219190297842	0.8547288776796973
8	3501	0.37987807393074036	0.8484929552345283	0.8501891551071878
9	4001	0.3925614356994629	0.8591938648118423	0.8615384615384616
10	4501	0.33962589502334595	0.8303905831995719	0.8380832282471626
11	5001	0.3677360415458679	0.8686463349384698	0.8587641866330391
12	5501	0.31531959772109985	0.8682896379525593	0.8670870113493064
13	6001	0.32310983538627625	0.8580345996076333	0.8577553593947037
14	6501	0.30852073431015015	0.8660602817906189	0.8640605296343001
15	7001	0.33051344752311707	0.8738184412341715	0.8668348045397226
16	7501	0.29735687375068665	0.8788121990369181	0.855233291298865
17	8001	0.25508347153663635	0.8900481540930979	0.8703656998738966
18	8501	0.28309085965156555	0.8929909042268592	0.8721311475409836
19	9001	0.28092318773269653	0.8857677902621723	0.8650693568726355
20	9501	0.25273528695106506	0.8972712680577849	0.8635561160151324
21	10001	0.2903604209423065	0.8955769573747102	0.8713745271122321
22	10501	0.22494059801101685	0.9001248439450686	0.8796973518284994
23	11001	0.26089993119239807	0.9019975031210986	0.8680958385876418
24	11501	0.2430427074432373	0.9076154806491885	0.8718789407313997
25	12001	0.21656465530395508	0.9084180488674871	0.8633039092055486
26	12501	0.22190429270267487	0.9067237381844123	0.8706179066834805
27	13001	0.2177470177412033	0.9173354735152488	0.8751576292559899
28	13501	0.29046574234962463	0.9003031924380239	0.8686002522068096
29	14001	0.23147006332874298	0.90494025325486	0.8665825977301387
30	14501	0.1973864883184433	0.9119850187265918	0.86078184110971
31	15001	0.19250550866127014	0.9043160335295167	0.8638083228247163
