	train_steps	train_losses	train_accs	dev_accs
0	1	0.699467658996582	0.4943576388888889	0.5149739583333334
1	501	0.6804748177528381	0.5342881944444444	0.5384114583333334
2	1001	0.6573454141616821	0.6317274305555556	0.5930989583333334
3	1501	0.6127254962921143	0.6775173611111112	0.607421875
4	2001	0.582805335521698	0.7378472222222222	0.6041666666666666
5	2501	0.4408363699913025	0.8140190972222222	0.6165364583333334
6	3001	0.32854652404785156	0.8956163194444444	0.6178385416666666
7	3501	0.08882812410593033	0.9841579861111112	0.5983072916666666
8	4001	0.11763319373130798	0.9793836805555556	0.5944010416666666
9	4501	0.06415604799985886	0.9928385416666666	0.6100260416666666
10	5001	0.05109620466828346	0.9963107638888888	0.6295572916666666
11	5501	0.03433684632182121	0.9956597222222222	0.6197916666666666
12	6001	0.0518198199570179	0.9874131944444444	0.6321614583333334
13	6501	0.06985510140657425	0.9932725694444444	0.6158854166666666
14	7001	0.020148102194070816	0.998046875	0.6087239583333334
