	train_steps	train_losses	train_accs	dev_accs
0	0	0.0	0.52561076360203	0.5178387650085763
1	1	0.6926708221435547	0.5415437271332468	0.5578044596912521
2	501	0.44062742590904236	0.8041425705181163	0.8058319039451115
3	1001	0.47679466009140015	0.7988315826743775	0.804631217838765
4	1501	0.42633330821990967	0.8230850938274519	0.8240137221269297
5	2001	0.3851383924484253	0.8376017939336716	0.8344768439108061
6	2501	0.4013574421405792	0.8077422400566505	0.8113207547169812
7	3001	0.36292245984077454	0.8391360793107518	0.8403087478559177
8	3501	0.35611891746520996	0.8499940989023959	0.8504288164665523
9	4001	0.3690164089202881	0.8029623509972855	0.8049742710120069
10	4501	0.3674875795841217	0.8627404697273693	0.8504288164665523
11	5001	0.34736040234565735	0.8613242063023723	0.8480274442538593
12	5501	0.33611300587654114	0.8702938746606869	0.8521440823327616
13	6001	0.3441452383995056	0.8625634367992446	0.8595197255574614
14	6501	0.3569003641605377	0.8671662929304851	0.8588336192109777
15	7001	0.2951333224773407	0.865632007553405	0.8590051457975987
16	7501	0.2712535560131073	0.8741295881033873	0.8620926243567753
17	8001	0.32845062017440796	0.8160037767024667	0.7958833619210978
18	8501	0.372940331697464	0.8779653015460875	0.8651801029159519
19	9001	0.35076460242271423	0.8632125575357016	0.8547169811320755
20	9501	0.2889765501022339	0.8766080490971321	0.8574614065180103
21	10001	0.3142131567001343	0.8747196978638027	0.8655231560891938
22	10501	0.29117897152900696	0.8690546441638145	0.8620926243567753
23	11001	0.3091360032558441	0.8808568393721232	0.8646655231560892
24	11501	0.2493610680103302	0.8732444234627641	0.8617495711835335
25	12001	0.2546398341655731	0.8852236515991975	0.8646655231560892
26	12501	0.24884343147277832	0.8877021125929423	0.862607204116638
27	13001	0.2704339921474457	0.8897084857783548	0.8636363636363636
28	13501	0.25859686732292175	0.8858727723356544	0.8648370497427101
29	14001	0.2654969096183777	0.8922459577481412	0.86295025728988
30	14501	0.2653116285800934	0.8915378260356426	0.8699828473413379
31	15001	0.3442222774028778	0.8877611235689838	0.8662092624356775
32	15501	0.26239925622940063	0.8964947480231323	0.8656946826758147
33	16001	0.2297511100769043	0.8992682638970848	0.8679245283018868
34	16501	0.2280454933643341	0.8534167355128054	0.841852487135506
35	17001	0.2613391578197479	0.8762539832408828	0.8389365351629503
36	17501	0.22905810177326202	0.8977929894960462	0.8679245283018868
37	18001	0.24625936150550842	0.8999173846335419	0.8692967409948542
38	18501	0.22578008472919464	0.8992092529210434	0.865008576329331
39	19001	0.18282032012939453	0.9000944175616664	0.8665523156089194
40	19501	0.20696231722831726	0.9018057358668712	0.8749571183533448
41	20001	0.26678159832954407	0.897438923639797	0.8665523156089194
42	20501	0.2603452503681183	0.898088044376254	0.8656946826758147
43	21001	0.21149739623069763	0.8967307919272984	0.8687821612349914
44	21501	0.2533796429634094	0.8959046382627168	0.8569468267581475
45	22001	0.2468404769897461	0.9090050749439396	0.8682675814751286
46	22501	0.2479598969221115	0.9006845273220819	0.8644939965694682
47	23001	0.19301779568195343	0.9052283724772808	0.8667238421955403
48	23501	0.24075229465961456	0.893957276053346	0.842024013722127
49	24001	0.18966518342494965	0.9085329871356073	0.869811320754717
50	24501	0.18873316049575806	0.9084739761595657	0.8596912521440824
51	25001	0.20643775165081024	0.9077658444470672	0.8639794168096054
52	25501	0.1880483329296112	0.909477162752272	0.8615780445969126
