	train_steps	train_losses	train_accs	dev_accs
0	1	0.8179213404655457	0	0.5946436677258284
1	1001	0.4375409185886383	0	0.7412619155696777
2	2001	0.21980029344558716	0	0.8858374943259192
3	3001	0.1804559975862503	0	0.929187471629596
4	4001	0.17828133702278137	0	0.945301861098502
5	5001	0.09120389819145203	0	0.9659555152065366
6	6001	0.01875041052699089	0	0.9872900590104403
7	7001	0.026704618707299232	0	0.9546073536087154
8	8001	0.1261875182390213	0	0.9679981842941443
9	9001	0.005945627111941576	0	0.9843395369950068
10	10001	0.007384884171187878	0	0.9906945074897866
11	11001	0.020972441881895065	0	0.9854743531547889
12	12001	0.032777052372694016	0	0.9759418974126192
13	13001	0.005616594571620226	0	0.9916023604176123
