	train_steps	train_losses	train_accs	dev_accs
0	2	0.5657057762145996	0.507658565920266	0.5047023563455973
1	66	0.13993285596370697	0.5818387633096325	0.5513125258371228
2	130	0.1277773231267929	0.6428596696027451	0.6060355518809425
3	194	0.11924413591623306	0.6782517952527504	0.6484601074824308
4	258	0.11599304527044296	0.6914818352258658	0.6423108722612649
5	322	0.11297815293073654	0.7090452439067529	0.6648925175692435
6	386	0.10976774245500565	0.7272807669178252	0.6646858205870194
7	450	0.10093942284584045	0.7535109130142559	0.6592600248036379
8	514	0.09766796231269836	0.7794580636032403	0.642517569243489
9	578	0.08564102649688721	0.8121440447132902	0.6436544026457214
10	642	0.0776585042476654	0.8397714811277371	0.6357482430756511
11	706	0.06459244340658188	0.8780643107290672	0.6359549400578751
12	770	0.055282432585954666	0.9006332024479111	0.62474162877222
13	834	0.039858121424913406	0.9273939651208037	0.6315109549400578
14	898	0.02849923074245453	0.9443029466907212	0.6270669698222406
