	train_steps	train_losses	train_accs	dev_accs
0	2	0.6346785426139832	0	0.6112121369564087
1	74	0.1774756759405136	0	0.6454512391541539
2	146	0.14556695520877838	0	0.7021353977243207
3	218	0.13375212252140045	0	0.7276978230373564
4	290	0.1270698755979538	0	0.7400633865017925
5	362	0.12271033972501755	0	0.7441159661245909
6	434	0.1179538443684578	0	0.7441159661245909
7	506	0.11503008753061295	0	0.7491557125785837
8	578	0.11330565810203552	0	0.7429729308463656
9	650	0.10874535143375397	0	0.7464020366810412
