	train_steps	train_losses	train_accs	dev_accs
0	0	0.0	0.47483870967741937	0.48451612903225805
1	2	0.6346492171287537	0.4896774193548387	0.47677419354838707
2	74	0.1774744987487793	0.5703225806451613	0.5625806451612904
3	146	0.1455649584531784	0.6537634408602151	0.6283870967741936
4	218	0.13376106321811676	0.6608602150537635	0.6361290322580645
5	290	0.1270831823348999	0.6612903225806451	0.6412903225806451
6	362	0.12266801297664642	0.6729032258064516	0.6432258064516129
7	434	0.11797498166561127	0.6647311827956989	0.6303225806451613
8	506	0.11502628773450851	0.6664516129032259	0.6438709677419355
9	578	0.11327802389860153	0.6827956989247311	0.6561290322580645
10	650	0.10866304486989975	0.683010752688172	0.6548387096774193
