	train_steps	train_losses	train_accs	dev_accs
0	0	0.0	0.4630541871921182	0.45242537313432835
1	1	7.397923946380615	0.45751231527093594	0.4533582089552239
2	501	0.6596685647964478	0.6183805418719212	0.5890858208955224
3	1001	0.650258481502533	0.6322352216748769	0.6417910447761194
4	1501	0.640275239944458	0.6159174876847291	0.6142723880597015
5	2001	0.6329824328422546	0.6530172413793104	0.6040111940298507
6	2501	0.6056214570999146	0.6704125615763546	0.6259328358208955
7	3001	0.6052742004394531	0.7042795566502463	0.6385261194029851
8	3501	0.5687988996505737	0.7169027093596059	0.6403917910447762
9	4001	0.5292251706123352	0.7621613300492611	0.6254664179104478
10	4501	0.43531733751296997	0.8055726600985221	0.6147388059701493
11	5001	0.3591730296611786	0.8602216748768473	0.6226679104477612
