	train_steps	train_losses	train_accs	dev_accs
0	0	0.0	0.5350985221674877	0.5527052238805971
1	1	5.902215003967285	0.45689655172413796	0.44402985074626866
2	501	0.6915032863616943	0.5423337438423645	0.5564365671641791
3	1001	0.689237117767334	0.5431034482758621	0.5573694029850746
4	1501	0.6867475509643555	0.542179802955665	0.5555037313432836
5	2001	0.6911360621452332	0.5431034482758621	0.5559701492537313
6	2501	0.6918924450874329	0.5431034482758621	0.5569029850746269
7	3001	0.6878631711006165	0.5426416256157636	0.5578358208955224
8	3501	0.6879523396492004	0.5423337438423645	0.5578358208955224
9	4001	0.6833961606025696	0.5431034482758621	0.5564365671641791
10	4501	0.6905349493026733	0.5429495073891626	0.5573694029850746
11	5001	0.6880041360855103	0.5427955665024631	0.5555037313432836
