	train_steps	train_losses	train_accs	dev_accs
0	0	0.0	0.5455665024630542	0.5382462686567164
1	1	13.583086013793945	0.4527401477832512	0.46595149253731344
2	501	0.6569833755493164	0.6006773399014779	0.5862873134328358
3	1001	0.6350374221801758	0.5980603448275862	0.590018656716418
4	1501	0.5137830376625061	0.7943349753694581	0.7663246268656716
5	2001	0.6490315198898315	0.6166871921182266	0.6161380597014925
6	2501	0.6399311423301697	0.6229987684729064	0.6063432835820896
7	3001	0.6304064393043518	0.6196120689655172	0.6096082089552238
8	3501	0.6096733808517456	0.6573275862068966	0.6473880597014925
9	4001	0.5772423148155212	0.7330665024630542	0.7038246268656716
10	4501	0.47022005915641785	0.6630233990147784	0.6492537313432836
11	5001	0.3926316499710083	0.708128078817734	0.679570895522388
