	train_steps	train_losses	train_accs	dev_accs
0	2	0.6120986342430115	0.5121498599439775	0.5079011560080603
1	66	0.15948772430419922	0.5013305322128851	0.5003181673560293
2	130	0.13909946382045746	0.6381652661064425	0.6379255488386891
3	194	0.1330111175775528	0.6515756302521009	0.6520309682893202
4	258	0.130470409989357	0.6590511204481793	0.6569095344151024
5	322	0.1266150325536728	0.6574579831932773	0.6537278608548096
6	386	0.12257685512304306	0.6613095238095238	0.6594018453706649
7	450	0.12310287356376648	0.6604341736694678	0.6544702513522113
8	514	0.12686096131801605	0.6676295518207283	0.6596669848340226
9	578	0.1253172904253006	0.6646533613445378	0.6565383391664015
