	train_steps	train_losses	train_accs	dev_accs
0	0	0.0	0.4981792717086835	0.5020150599215187
1	2	0.6054354310035706	0.5131302521008403	0.5077951002227171
2	66	0.27535897493362427	0.5071078431372549	0.5046134266624245
3	130	0.24120695888996124	0.5110119047619047	0.507105737617987
4	194	0.22745530307292938	0.5085959383753501	0.504083147735709
5	258	0.22348609566688538	0.5093662464985994	0.5042422314137236
6	322	0.22112059593200684	0.5119747899159663	0.5085905186127904
7	386	0.21470807492733002	0.5088935574229692	0.504772510340439
8	450	0.21524342894554138	0.5099089635854341	0.5042422314137236
9	514	0.22435010969638824	0.5083508403361344	0.5050906776964683
10	578	0.22160975635051727	0.510609243697479	0.5064694029059286
