	train_steps	train_losses	train_accs	dev_accs
0	2	0.6346785426139832	0.6071932056527869	0.6119914791915623
1	74	0.17746832966804504	0.6508957122717739	0.6467501428794098
2	146	0.14557775855064392	0.7249595983908125	0.6993817218267782
3	218	0.13373450934886932	0.7481690334559709	0.7306593235309399
4	290	0.12709297239780426	0.7609084344806244	0.7404270795448641
5	362	0.1226990669965744	0.7690059484922463	0.7439081415285499
6	434	0.11798826605081558	0.7748512876938418	0.7456746505948979
7	506	0.11505600810050964	0.7859918165251177	0.7466618174260924
8	578	0.11330866813659668	0.7959632775160747	0.7444796591676625
9	650	0.10873673856258392	0.8054361654574838	0.7496752740686861
10	722	0.10592624545097351	0.8192242891036	0.7448953083597444
11	794	0.10272981226444244	0.8309665440291579	0.7379851405413831
12	866	0.09727612137794495	0.8438778667950348	0.7336208240245233
13	938	0.08570774644613266	0.8555513530241035	0.7283732529744895
14	1010	0.0783742144703865	0.8760616167520545	0.729360419805684
