	train_steps	train_losses	train_accs	dev_accs
0	2	0.6199172139167786	0.5117973752166685	0.5076994625878463
1	66	0.14398789405822754	0.5460752060561038	0.530952873088053
2	130	0.13281004130840302	0.5983940004952422	0.5688300950806118
3	194	0.12518946826457977	0.6517563408680888	0.614561802397685
4	258	0.11969897896051407	0.6721850790618699	0.6420008267879289
5	322	0.11620281636714935	0.692207011213697	0.6622054568003307
6	386	0.1143285408616066	0.7070465881354133	0.6691298057048367
7	450	0.10632450878620148	0.7181895362411121	0.6570380322447292
8	514	0.10668932646512985	0.7357529449219994	0.6564179412980571
9	578	0.09863778948783875	0.7536877852064099	0.6523873501446878
10	642	0.09429192543029785	0.7726661714245286	0.6488735014468788
11	706	0.08749743551015854	0.7933248434681099	0.6502687060768912
12	770	0.08686256408691406	0.8194488662492483	0.6412773873501447
13	834	0.07293336093425751	0.839948353319891	0.6475299710624225
14	898	0.0663529708981514	0.867310481446107	0.6266535758577925
