	train_steps	train_losses	train_accs	dev_accs
0	2	0.6234400272369385	0.5107538292829601	0.5083712277800744
1	66	0.1442694216966629	0.5433690615161484	0.5274906986357999
2	130	0.1331537812948227	0.5940252573490395	0.5637143447705664
3	194	0.12639090418815613	0.643213413987053	0.6057255064076065
4	258	0.12135989964008331	0.6644557642647423	0.6283071517155849
5	322	0.11803410202264786	0.6838586437440306	0.6502687060768912
6	386	0.11647612601518631	0.6955852700838374	0.6613269946258785
7	450	0.10870086401700974	0.7029254660582264	0.6508371227780074
8	514	0.11028818786144257	0.7187909016944356	0.6535241835469202
9	578	0.10305413603782654	0.7327461176553822	0.6385386523356759
10	642	0.10057045519351959	0.7439067529802964	0.6409673418768086
11	706	0.09637784957885742	0.754589833386395	0.6552811078958247
12	770	0.09975071996450424	0.7675015034136333	0.6495969408846631
13	834	0.08929842710494995	0.7812267855247798	0.6472199255890864
14	898	0.08935561031103134	0.7933071562488946	0.6453596527490698
